emp_no,birth_date,first_name,last_name,hire_date
10098,1961-09-23,Sreekrishna,Servieres,1985-05-13
10099,1956-05-25,Valter,Sullins,1988-10-18
10100,1953-04-21,Hironobu,Haraldson,1987-09-21
10101,1952-04-15,Perla,Heyers,1992-12-28
10102,1959-11-04,Paraskevi,Luby,1994-01-26
10103,1953-11-26,Akemi,Birch,1986-12-02
10104,1961-11-19,Xinyu,Warwick,1987-04-16
10105,1962-02-05,Hironoby,Piveteau,1999-03-23
10106,1952-08-29,Eben,Aingworth,1990-12-19
10107,1956-06-13,Dung,Baca,1994-03-22
10108,1952-04-07,Lunjin,Giveon,1986-10-02
10109,1958-11-25,Mariusz,Prampolini,1993-06-16
10110,1957-03-07,Xuejia,Ullian,1986-08-22
10111,1963-08-29,Hugo,Rosis,1988-06-19
10112,1963-08-13,Yuichiro,Swick,1985-10-08
10113,1963-11-13,Jaewon,Syrzycki,1989-12-24
10114,1957-02-16,Munir,Demeyer,1992-07-17
10115,1964-12-25,Chikara,Rissland,1986-01-23
10116,1955-08-26,Dayanand,Czap,1985-05-28
10117,1961-10-24,Kiyotoshi,Blokdijk,1990-05-28
10118,1957-03-29,Zhonghui,Zyda,1990-09-13
10119,1960-12-01,Domenick,Peltason,1986-03-14
10120,1960-03-26,Armond,Fairtlough,1996-07-06
10121,1962-07-14,Guoxiang,Ramsay,1989-05-03
10122,1965-01-19,Ohad,Esposito,1992-12-23
10123,1962-05-12,Hinrich,Randi,1993-01-15
10124,1962-05-23,Geraldo,Marwedel,1991-09-05
10125,1957-09-13,Syozo,Hiltgen,1990-10-26
10126,1954-08-07,Kayoko,Valtorta,1985-09-08
10127,1952-02-24,Subir,Baja,1989-01-14
10128,1958-02-15,Babette,Lamba,1988-06-06
10129,1955-12-02,Armond,Peir,1985-12-10
10130,1955-04-27,Nishit,Casperson,1988-06-21
10131,1952-02-19,Magdalena,Eldridge,1994-11-17
10132,1956-12-15,Ayakannu,Skrikant,1994-10-30
10133,1963-12-12,Giri,Isaak,1985-12-15
10134,1953-04-15,Diederik,Siprelle,1987-12-12
10135,1956-12-23,Nathan,Monkewich,1988-02-19
10136,1961-09-14,Zissis,Pintelas,1986-02-11
10137,1959-07-30,Maren,Hutton,1985-02-18
10138,1955-04-24,Perry,Shimshoni,1986-09-18
10139,1963-03-03,Ewing,Foong,1998-03-15
10140,1957-03-11,Yucel,Auria,1991-03-14
10141,1960-01-17,Shahaf,Ishibashi,1993-05-06
10142,1956-08-29,Tzvetan,Hettesheimer,1993-10-28
10143,1961-07-16,Sakthirel,Bakhtari,1988-09-30
10144,1959-06-17,Marla,Brendel,1985-10-14
10145,1956-03-30,Akemi,Esposito,1987-08-01
10146,1959-01-12,Chenyi,Syang,1988-06-28
10147,1964-10-13,Kazuhito,Encarnacion,1986-08-21
10148,1957-10-04,Douadi,Azumi,1995-10-10
10149,1953-05-20,Xiadong,Perry,1986-11-05
10150,1955-01-29,Zhenbing,Perng,1986-11-16
10151,1959-03-06,Itzchak,Lichtner,1990-04-10
10152,1954-12-01,Jaques,Munro,1986-01-27
10153,1955-12-15,Heekeun,Majewski,1987-04-08
10154,1957-01-17,Abdulah,Thibadeau,1990-12-12
10155,1959-12-07,Adas,Nastansky,1990-01-05
10156,1964-09-19,Sumali,Fargier,1985-03-10
10157,1954-04-23,Nigel,Aloisi,1985-11-02
10158,1958-04-01,Khedija,Mitsuhashi,1986-01-29
10159,1955-03-03,Serif,Buescher,1991-05-29
10160,1953-10-18,Debatosh,Khasidashvili,1989-01-30
10161,1953-04-06,Hairong,Mellouli,1988-04-03
10162,1957-10-05,Florina,Eugenio,1991-05-01
10163,1952-09-17,Karsten,Szmurlo,1989-07-19
10164,1956-01-19,Jagoda,Braunmuhl,1985-11-12
10165,1960-06-16,Miyeon,Macedo,1988-05-17
10166,1953-05-10,Samphel,Siegrist,1993-01-01
10167,1958-05-23,Duangkaew,Rassart,1992-04-04
10168,1964-09-11,Dharmaraja,Stassinopoulos,1986-12-06
10169,1961-05-03,Sampalli,Snedden,1992-07-24
10170,1960-10-03,Kasturi,Jenevein,1986-01-02
10171,1957-09-11,Herbert,Trachtenberg,1989-07-22
10172,1957-03-25,Shigeu,Matzen,1995-10-13
10173,1962-10-28,Shrikanth,Mahmud,1992-03-21
10174,1959-05-15,Badri,Furudate,1987-06-01
10175,1960-01-11,Aleksandar,Ananiadou,1988-01-11
10176,1957-01-24,Brendon,Lenart,1994-12-22
10177,1954-11-08,Pragnesh,Iisaka,1993-02-06
10178,1963-03-13,Valery,Litvinov,1986-10-07
10179,1961-11-25,Deniz,Duclos,1990-10-04
10180,1956-01-29,Shaw,Wendorf,1986-02-25
10181,1963-01-22,Sibyl,Nooteboom,1988-06-22
10182,1961-02-04,Moriyoshi,Merey,1990-09-02
10183,1954-10-17,Mechthild,Bonifati,1996-08-11
10184,1957-05-22,Mihalis,Lowrie,1987-10-29
10185,1959-12-05,Duro,Sidhu,1986-03-01
10186,1953-07-16,Shigehito,Kropatsch,1986-03-28
10187,1961-05-26,Tommaso,Narwekar,1991-06-01
10188,1956-07-13,Christ,Muchinsky,1987-08-27
10189,1955-11-12,Khalid,Erva,1989-10-05
10190,1964-12-11,Arve,Fairtlough,1986-06-23
10191,1959-04-08,Zdislav,Nastansky,1986-04-10
10192,1960-09-16,Mohua,Falck,1988-06-13
10193,1960-06-29,Masaru,Cheshire,1991-07-28
10194,1954-01-29,Josyula,Hofmeyr,1989-05-15
10195,1963-11-13,Annemarie,Redmiles,1985-02-15
10196,1954-01-27,Marc,Hellwagner,1994-11-16
10197,1963-08-06,Kasidit,Krzyzanowski,1993-11-22
10198,1953-05-28,Pranav,Furedi,1985-08-31
10199,1959-04-07,Kazuhisa,Ranta,1997-04-29
10200,1961-12-31,Vidya,Awdeh,1985-10-16
10201,1956-12-15,Idoia,Kavraki,1986-11-22
10202,1956-01-05,Greger,Lichtner,1991-10-06
10203,1955-07-27,Steen,Escriba,1989-04-06
10204,1956-12-09,Nevio,Ritcey,1986-12-04
10205,1953-05-20,Mabhin,Leijenhorst,1993-08-23
10206,1960-09-19,Alassane,Iwayama,1988-04-19
10207,1955-05-28,Girolamo,Anandan,1992-10-11
10208,1960-01-02,Xiping,Klerer,1991-12-23
10209,1956-12-12,Yolla,Ellozy,1991-11-23
10210,1958-01-24,Yuping,Alpin,1994-05-10
10211,1964-08-05,Vishu,Strehl,1989-11-18
10212,1959-05-09,Divier,Esteva,1990-07-11
10213,1964-05-24,Jackson,Kakkad,1992-11-06
10214,1962-04-14,Tadahiko,Ciolek,1988-02-29
10215,1954-04-02,Xiaobin,Duclos,1987-10-19
10216,1958-07-16,Amstein,Ghemri,1987-10-30
10217,1954-07-07,Yongmin,Roison,1986-05-12
10218,1958-12-07,Zhenhua,Magalhaes,1997-01-15
10219,1952-05-02,Genta,Kolvik,1993-03-31
10220,1958-05-25,Kish,Fasbender,1992-06-25
10221,1957-01-03,Yucai,Granlund,1988-06-08
10222,1962-09-21,Tze,Nourani,1986-06-08
10223,1963-09-17,Carrsten,Schmiedel,1985-11-18
10224,1954-05-17,Leon,Trogemann,1988-01-09
10225,1957-02-13,Kellie,Chinen,1986-06-19
10226,1964-12-28,Xinglin,Plessier,1989-10-27
10227,1957-07-04,Anneli,Kaiser,1994-04-24
10228,1953-04-21,Karoline,Cesareni,1991-08-26
10229,1952-02-10,Ulises,Takanami,1987-11-22
10230,1955-09-11,Clyde,Vernadat,1996-06-16
10231,1963-07-21,Shaowen,Desikan,1996-04-13
10232,1956-03-11,Marko,Auria,1992-06-04
10233,1954-04-01,Lein,Vendrig,1985-07-05
10234,1961-01-18,Arunachalam,Bakhtari,1990-11-19
10235,1958-03-27,Susanta,Roccetti,1995-04-06
10236,1960-03-26,Susumu,Bade,1996-08-30
10237,1952-09-22,Yannis,Mandell,1989-08-11
10238,1964-11-02,Mototsugu,Gire,1986-11-19
10239,1955-03-31,Nikolaos,Llado,1995-05-08
10240,1952-04-01,Remko,Maccarone,1998-10-06
10241,1958-07-01,Ortrud,Murillo,1988-06-12
10242,1964-02-22,Lunjin,Ozeri,1988-01-18
10243,1960-12-22,Wonhee,Pouyioutas,1985-11-24
10244,1961-10-24,Foong,Flasterstein,1985-12-23
10245,1962-08-23,Ramalingam,Gente,1985-04-26
10246,1962-06-23,Basem,Teitelbaum,1987-07-12
10247,1964-06-30,Heon,Riefers,1992-08-14
10248,1955-09-24,Frederique,Tempesti,1991-08-13
10249,1954-06-10,Marie,Boreale,1991-12-08
10250,1958-08-12,Serap,Etalle,1992-08-30
10251,1957-04-25,Alair,Rosenbaum,1992-06-25
10252,1961-01-30,Shirish,Wegerle,1990-11-08
10253,1964-11-12,Zsolt,Salinas,1985-02-21
10254,1959-12-07,Shen,Brattka,1990-06-14
10255,1964-02-08,Roddy,Garnick,1993-05-12
10256,1960-12-02,Irene,Radhakrishnan,1985-10-12
10257,1957-09-12,Aiman,Riexinger,1986-08-05
10258,1955-12-12,Basil,Ishibashi,1985-05-17
10259,1964-11-24,Susanna,Vesel,1986-06-25
10260,1961-07-14,Alper,Suomi,1991-04-13
10261,1959-12-25,Mang,Erie,1993-10-20
10262,1955-08-04,Mahendra,Maraist,1992-07-27
10263,1961-02-08,Takahiro,Waterhouse,1994-02-05
10264,1958-09-08,Nalini,Kawashimo,1997-07-16
10265,1960-12-01,Ramalingam,Muniz,1989-07-13
10266,1958-02-24,Sukumar,Rassart,1990-05-25
10267,1956-01-16,Shaunak,Cullers,1996-12-11
10268,1958-06-03,Nishit,Siochi,1986-12-17
10269,1959-10-07,Taizo,Oxman,1988-07-24
10270,1963-01-30,Bedir,Hartvigsen,1990-04-26
10271,1962-04-24,Sham,Eastman,1986-05-23
10272,1954-11-30,Yishai,Cannane,1988-05-23
10273,1962-08-29,Baocai,Lieblein,1985-11-06
10274,1957-08-23,Dmitri,Pearson,1991-04-21
10275,1961-10-22,Marek,Luck,1987-09-08
10276,1964-07-27,Xuejun,Hempstead,1985-07-21
10277,1964-08-15,Isaac,Schwartzbauer,1985-06-16
10278,1955-03-09,Lubomir,Nitsch,1991-05-17
10279,1964-08-20,Barton,Jumpertz,1994-12-20
10280,1964-10-29,Stabislas,Delgrange,1988-03-18
10281,1953-05-13,Moty,Kusakari,1994-12-03
10282,1953-11-27,Hercules,Benzmuller,1986-06-04
10283,1953-07-08,Kauko,Birjandi,1988-05-25
10284,1954-04-08,Masali,Murrill,1997-07-02
10285,1956-09-21,Zhonghui,Preusig,1995-02-27
10286,1952-05-14,Saddek,Gopalakrishnan,1988-03-21
10287,1963-11-28,Marie,Pietracaprina,1992-12-28
10288,1959-06-02,Selwyn,Perri,1994-08-29
10289,1956-11-30,Shay,Poulakidas,1990-06-06
10290,1957-05-29,Yongmao,Pleszkun,1991-09-18
10291,1965-01-23,Dipayan,Seghrouchni,1986-09-29
10292,1963-01-27,Yucel,Ghelli,1989-06-05
10293,1956-11-24,Mihalis,Avouris,1992-12-12
10294,1955-01-05,Rutger,Miara,1996-04-08
10295,1953-01-13,Kristine,Velardi,1990-08-27
10296,1964-05-13,Petter,Lorho,1989-09-16
10297,1956-06-17,Narain,Oaver,1986-05-28
10298,1954-07-06,Dietrich,DuCasse,1999-03-30
10299,1960-06-21,Ipke,Stentiford,1990-01-10
10300,1960-07-12,Tadahiko,Ulupinar,1991-05-17
10301,1962-08-26,Lucien,Staudhammer,1988-05-23
10302,1954-10-11,Faiza,Baer,1986-07-22
10303,1961-09-11,Marlo,Zschoche,1990-02-05
10304,1956-03-07,Bernt,Erie,1992-11-16
10305,1952-06-30,Hirochika,Piancastelli,1988-10-31
10306,1953-06-02,Heng,Kilgour,1993-09-06
10307,1955-07-20,Nikolaos,Leaver,1991-04-10
10308,1961-03-14,Dzung,Holburn,1992-12-29
10309,1964-11-06,Prodip,Schusler,1985-06-20
10310,1964-08-29,Aksel,Alencar,1990-10-24
10311,1958-11-24,Hsiangchu,Molenkamp,1991-04-01
10312,1957-06-18,Rasiah,Deyuan,1986-08-28
10313,1962-05-30,Subbu,Riexinger,1994-10-10
10314,1961-05-04,Christfried,Apsitis,1986-01-16
10315,1956-08-03,Maris,Angelopoulos,1987-08-28
10316,1958-06-20,Christoper,Schwaller,1987-09-04
10317,1957-12-25,Arie,Birge,1986-12-10
10318,1958-08-27,Mototsugu,Beilner,1985-06-29
10319,1963-03-09,Mechthild,Miyakawa,1985-08-15
10320,1956-06-22,Uinam,Stasinski,1988-11-03
10321,1955-12-12,Guenter,Ravishankar,1991-09-24
10322,1954-05-28,Isamu,Dahlbom,1990-01-29
10323,1958-06-20,Kankanahalli,Hinsberger,1991-06-06
10324,1957-12-29,Bernardo,Rouquie,1988-03-19
10325,1953-01-12,Arunachalam,Badr,1990-09-20
10326,1953-02-13,Masali,Czap,1985-05-13
10327,1954-04-01,Roded,Facello,1987-09-18
10328,1955-06-28,Serenella,Kawashima,1994-01-16
10329,1958-04-28,Remko,Shigei,1986-01-20
10330,1957-02-02,Kasturi,Bellmore,1985-06-12
10331,1961-08-12,Arto,Binkley,1985-04-06
10332,1961-11-05,Masanao,Bain,1988-06-08
10333,1953-04-27,Snehasis,Dymetman,1993-01-16
10334,1958-04-02,Falguni,Erie,1996-12-28
10335,1963-03-13,Toshimori,Bahi,1992-04-06
10336,1961-07-16,Goa,Rothe,1992-01-07
10337,1957-12-10,Jeong,Sadowsky,1995-08-06
10338,1961-02-12,Heon,Ranai,1988-09-01
10339,1957-08-27,Teunis,Liedekerke,1989-11-30
10340,1952-08-20,Djelloul,Laventhal,1987-06-05
10341,1960-11-22,Wilmer,Greenaway,1987-04-29
10342,1960-03-17,Stella,Hiroyama,1987-07-25
10343,1954-11-01,Dinah,Syrzycki,1993-10-14
10344,1957-07-24,Uwe,Garnier,1994-06-25
10345,1960-12-13,Arra,Ratnakar,1993-11-08
10346,1963-01-29,Aamod,Radwan,1987-01-27
10347,1953-10-03,Pradeep,Kaminger,1985-12-12
10348,1956-03-11,Mahendra,Picco,1995-10-22
10349,1954-04-29,Oksana,Brodie,1991-09-28
10350,1954-11-14,Kristen,Kavvadias,1990-08-19
10351,1963-08-23,Tadahiko,Strehl,1985-03-07
10352,1960-01-28,Erzsebet,Ohori,1996-01-21
10353,1953-01-15,Phule,Hammerschmidt,1989-08-24
10354,1961-04-21,Moto,Kusakari,1996-03-26
10355,1952-12-10,Satyanarayana,Cochrane,1987-11-15
10356,1952-08-12,Vasilis,Standera,1988-08-06
10357,1964-01-10,Hausi,Sidhu,1994-04-04
10358,1953-04-08,Qunsheng,Tagansky,1991-02-19
10359,1960-04-18,Heekeun,Sambasivam,1991-05-09
10360,1960-11-04,Irene,Munck,1996-09-04
10361,1961-04-22,Seshu,Sidou,1986-10-23
10362,1963-09-16,Shalesh,dAstous,1988-08-24
10363,1953-11-28,Toshiki,Muniz,1985-09-11
10364,1954-09-21,Nakhoon,Dengi,1985-11-14
10365,1958-04-28,Rosine,Granlund,1987-06-02
10366,1960-01-25,Morrie,Piazza,1994-04-11
10367,1955-12-24,Hyuckchul,Gini,1991-06-24
10368,1956-03-25,Hatim,Koshiba,1991-04-05
10369,1957-01-08,Qunsheng,Toyoshima,1986-05-17
10370,1957-08-03,Clyde,Fandrianto,1992-04-04
10371,1959-02-10,Ioana,Kirkerud,1989-11-28
10372,1952-04-08,Anneli,Frijda,1985-07-30
10373,1959-01-08,Hongzue,Heijenga,1997-04-26
10374,1955-10-08,Willard,Rosin,1993-12-08
10375,1957-10-09,Dante,Kalafatis,1994-05-29
10376,1959-02-12,Fai,Bale,1989-01-14
10377,1954-08-19,Marl,Grospietsch,1990-05-07
10378,1964-09-05,Takahira,Lichtner,1990-12-30
10379,1957-03-02,Mikhail,Rosis,1996-07-15
10380,1956-05-25,Alejandro,Kamble,1985-03-19
10381,1963-03-04,Jiong,Parfitt,1991-12-04
10382,1955-06-12,Shirish,Dredge,1990-07-04
10383,1963-11-13,Leucio,Aumann,1991-06-19
10384,1956-08-22,Feiyu,Luft,1986-01-16
10385,1963-05-14,Khatoun,Imataki,1992-12-20
10386,1956-11-09,Eishiro,Miyakawa,1985-08-02
10387,1952-11-03,Parto,Wrigley,1987-02-19
10388,1953-03-29,Hironoby,Kaiser,1996-03-24
10389,1953-03-24,Make,Peir,1995-10-31
10390,1960-03-07,Wanqing,Bratten,1989-05-17
10391,1956-06-13,Hongzue,Akaboshi,1989-12-24
10392,1962-02-17,Jiann,Hainaut,1992-03-01
10393,1958-03-24,Yagil,DasSarma,1989-06-23
10394,1957-05-22,Shawna,Meriste,1991-03-14
10395,1952-02-17,Takahiro,Deverell,1987-02-04
10396,1955-08-21,Sibyl,Rahier,1986-01-11
10397,1955-11-11,Irena,Reutenauer,1993-05-21
10398,1958-07-16,Shooichi,Escriba,1990-10-12
10399,1957-06-13,Guenter,Marchegay,1985-05-07
10400,1961-12-16,Ortrud,Nitto,1993-10-17
10401,1962-04-25,Eckart,Barriga,1991-04-05
10402,1953-07-23,Volkmar,Ebeling,1987-01-02
10403,1956-04-01,Atreyi,Mungall,1991-09-13
10404,1955-04-27,Prodip,Rosti,1988-08-28
10405,1957-01-20,Hilary,Budinsky,1985-11-04
10406,1956-09-21,Sigeru,Wynblatt,1987-03-11
10407,1955-07-05,Ulf,Siepmann,1990-03-08
10408,1964-03-17,Martijn,Kaiser,1998-10-07
10409,1958-08-28,Mario,Straney,1997-07-09
10410,1965-01-19,Takahito,Gecsei,1993-10-16
10411,1956-07-10,Lidong,Klerer,1989-09-02
10412,1958-02-26,Masoud,Fabrizio,1986-05-06
10413,1952-05-05,Danel,Impagliazzo,1990-03-26
10414,1954-04-09,Yinlin,Alpin,1990-05-30
10415,1957-11-12,Mark,Coorg,1993-10-25
10416,1956-05-26,Uli,Keustermans,1989-03-24
10417,1964-02-02,Bingning,Bakhtari,1992-03-12
10418,1952-06-29,Candida,Porotnikoff,1989-04-20
10419,1964-06-22,Maria,Bauknecht,1992-04-25
10420,1963-03-03,Kaijung,Riesenhuber,1988-01-17
10421,1959-03-22,Divine,Marzano,1989-09-12
10422,1954-06-02,Greger,Rubsam,1990-12-07
10423,1956-01-10,Dante,Cronin,1998-09-06
10424,1959-08-17,Babette,Straney,1989-08-07
10425,1963-10-24,Sashi,Osgood,1991-10-29
10426,1955-12-28,Arunas,Luce,1985-07-06
10427,1958-08-13,Khosrow,Sudbeck,1991-11-01
10428,1957-06-25,Cathie,Brlek,1992-06-04
10429,1952-02-13,Martien,Improta,1986-03-09
10430,1958-06-30,Ferdinand,Chenney,1990-11-16
10431,1961-05-25,Patricio,Bugrara,1987-10-08
10432,1953-11-06,Hisao,Tiemann,1985-04-30
10433,1954-09-02,Reuven,Dengi,1989-02-14
10434,1959-07-17,Dzung,Peltason,1995-06-27
10435,1957-10-12,Marsha,Tagansky,1986-12-19
10436,1963-06-17,Yahiko,Lammel,1988-01-30
10437,1956-07-07,Narain,Reeker,1996-04-12
10438,1961-12-25,Evgueni,Srimani,1990-01-19
10439,1958-04-09,Jolita,Jarecki,1990-01-11
10440,1959-04-10,Akeel,Narahara,1994-03-31
10441,1958-04-27,Adel,Perfilyeva,1988-07-12
10442,1955-09-09,Volkmar,Unno,1988-03-13
10443,1952-12-03,Shichao,Litvinov,1989-08-01
10444,1956-07-29,Kazuhira,Rosis,1993-03-31
10445,1957-01-10,Junichi,Kavanagh,1987-11-04
10446,1960-02-08,Ebru,Chepyzhov,1994-11-17
10447,1962-10-24,Ronghao,Yavatkar,1988-12-29
10448,1963-12-10,Phule,Oxenboll,1992-03-12
10449,1959-09-28,Aleksandar,Sudkamp,1987-03-28
10450,1959-11-05,Khun,Harbusch,1990-01-17
10451,1952-10-06,Bodh,Ranta,1988-03-12
10452,1956-11-24,Werner,Hasham,1988-09-05
10453,1953-07-19,Tsvetan,Matzel,1985-04-02
10454,1961-01-22,Wonhee,Badr,1987-04-10
10455,1963-12-17,Sverrir,Streng,1989-02-14
10456,1963-01-24,Stepehn,Hardjono,1995-12-25
10457,1963-11-10,Oddvar,Schlenzig,1991-11-23
10458,1961-01-06,Gina,Engelmann,1988-07-23
10459,1959-09-30,Ennio,Trogemann,1997-06-28
10460,1963-02-19,Shushma,VanScheik,1994-07-01
10461,1956-10-26,Gal,Karcich,1987-08-03
10462,1956-04-08,Sumali,Schlenzig,1996-03-25
10463,1954-05-20,Ung,Zaiane,1987-12-25
10464,1962-09-04,Mang,Maginnis,1989-10-09
10465,1963-03-13,Claudi,Shackel,1987-09-01
10466,1954-12-25,Jiakeng,Himler,1985-09-29
10467,1956-01-30,Dipayan,Suomi,1988-07-14
10468,1960-08-28,Yoshimitsu,Shobatake,1991-05-28
10469,1964-12-22,Munehiko,Ananiadou,1985-06-05
10470,1956-04-12,Peternela,Iwayama,1988-06-01
10471,1963-11-30,Jouko,Yamaashi,1990-11-18
10472,1959-08-20,Salvador,Lodder,1996-07-29
10473,1963-10-13,Przemyslawa,Oskamp,1987-10-30
10474,1962-02-24,Kenton,Garnham,1985-09-28
10475,1956-12-19,Mario,Rodite,1987-01-19
10476,1965-01-01,Kokou,Iisaka,1987-09-20
10477,1952-12-07,Guoxiang,Trogemann,1989-03-04
10478,1957-03-08,Maik,Ushiama,1992-06-09
10479,1959-01-27,Duro,Coney,1987-02-28
10480,1965-01-25,Make,Baba,1988-05-18
10481,1959-10-18,Yongmao,Pintelas,1988-10-06
10482,1961-07-17,Goa,Pleszkun,1991-07-20
10483,1957-03-13,Zhiwei,Anick,1992-11-08
10484,1961-08-30,Nirmal,Varley,1995-10-31
10485,1961-09-20,Teruyuki,Sundgren,1985-10-27
10486,1952-08-24,Amstein,Kossowski,1987-10-08
10487,1956-08-23,Perla,Middleton,1992-08-14
10488,1959-10-17,Mihalis,Heering,1994-06-09
10489,1958-08-24,Elvia,Homond,1989-09-10
10490,1961-09-28,Huiqun,Vuskovic,1992-10-07
10491,1964-09-09,Garnik,Narahari,1990-01-17
10492,1957-04-03,Lobel,Kumaresan,1988-04-24
10493,1962-01-12,Maris,Haraldson,1992-05-16
10494,1953-12-21,Yakkov,Servieres,1986-01-18
10495,1961-05-24,Anyuan,Zhiwei,1985-09-29
10496,1959-04-18,Gretta,Baig,1987-02-26
10497,1953-06-09,Pramod,Rabehasaina,1992-01-22
10498,1964-09-15,Valter,Cappelletti,1988-02-01
10499,1953-10-04,Maik,Luft,1989-11-23
